Area,Name,Rating,Total Ratings,Address,Latitude,Longitude,Popularity Score,Estimated Monthly Visitors,Average Spend,Estimated Revenue,Cafe Category,
Colaba,Cafe Basilico - Colaba,4.2,1203,"Sentinel House, Ground Floor, Arthur Bunder Rd, Azmi Street, Colaba, Mumbai, Maharashtra 400005, India",18.918783,72.830502,5052.6,30075,? 350.00,"? 1,05,26,250.00",Popular,
Colaba,Leopold Cafe,4.2,29972,"Police Station, Shahid Bhagat Singh Road, Colaba Causeway, near Colaba, Mumbai, Maharashtra 400001, India",18.9226402,72.8316401,125882.4,749300,? 350.00,"? 26,22,55,000.00",Popular,
Colaba,Bay view Cafe,4.2,3443,"25, PJ Ramchandani Marg, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9188514,72.8319915,14460.6,86075,? 350.00,"? 3,01,26,250.00",Popular,
Colaba,Cafe Churchill,4.3,2868,"East West Court Building, Colaba Causeway, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9199081,72.8302691,12332.4,71700,? 350.00,"? 2,50,95,000.00",Popular,
Colaba,Mag St.,4.4,1283,"Mag St., 4, Mandlik Rd, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9221086,72.8324156,5645.2,32075,? 450.00,"? 1,44,33,750.00",Popular,
Colaba,Cafe Mondegar,4.4,4578,"Metro House, Colaba Causeway, near Regal Cinema, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9240503,72.8321547,20143.2,114450,? 450.00,"? 5,15,02,500.00",Popular,
Colaba,Olympia Coffee House,4.3,6192,"Rahim Mansion, 1, Shahid Bhagat Singh Rd, Scindia Society, Police Colony, Apollo Bandar, Colaba, Mumbai, Maharashtra 400039, India",18.922886,72.8313856,26625.6,154800,? 350.00,"? 5,41,80,000.00",Popular,
Colaba,Colaba SOCIAL,4.2,9490,"B K Boman Behram Marg Shop 24, Ground Floor, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9216619,72.8322984,39858,237250,? 350.00,"? 8,30,37,500.00",Popular,
Colaba,Bake House Cafe,4.4,3447,"WRHJ+6XF, Chamber of Commerce Ln, Kala Ghoda, Fort, Mumbai, Maharashtra 400001, India",18.928067,72.832416,15166.8,86175,? 450.00,"? 3,87,78,750.00",Popular,
Colaba,Kala Ghoda Cafe,4.3,4955,"10, Rope Walk Ln, Kala Ghoda, Fort, Mumbai, Maharashtra 400001, India",18.9284954,72.8322067,21306.5,123875,? 350.00,"? 4,33,56,250.00",Popular,
Colaba,Zen Cafe,4.3,1136,"Fort Foundation Building, Bake House Ln, Kala Ghoda, Fort, Mumbai, Maharashtra 400001, India",18.9276626,72.832998,4884.8,28400,? 350.00,"? 99,40,000.00",Popular,
Colaba,Kuckeliku Breakfast House,4.2,542,"First Floor, Kamal Mansion, 4/25, Arthur Bunder Rd, near Radio Club, Apollo Bandar, Colaba, Mumbai, Maharashtra 400005, India",18.9182944,72.8308737,2276.4,13550,? 350.00,"? 47,42,500.00",Popular,
Colaba,Banyan Tree Cafe,4.3,1395,"7, 9, Calicut Rd, Ballard Estate, Fort, Mumbai, Maharashtra 400001, India",18.935253,72.8383786,5998.5,34875,? 350.00,"? 1,22,06,250.00",Popular,
Colaba,Theobroma,4.4,3926,"Shop No 24, Cusrow Baug, Shahid Bhagat Singh Road, Colaba Causeway, Colaba, Mumbai, Maharashtra 400005, India",18.9192596,72.8291845,17274.4,98150,? 450.00,"? 4,41,67,500.00",Popular,
Colaba,ARAKU Coffee,3.9,166,"No. 1, Sunny House, Mandlik Rd, behind The Taj Mahal Palace, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9221204,72.8325544,647.4,4150,? 350.00,"? 14,52,500.00",Average,
Colaba,Cafe Marina,3.9,1747,"Sea Palace Hotel Mumbai, 26, PJ Ramchandani Marg, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9190833,72.8319694,6813.3,43675,? 350.00,"? 1,52,86,250.00",Average,
Colaba,The Cacao Mill by Subko,4.3,668,"2nd Pasta Lane, Market, Badhwar Park, Apollo Bandar, Colaba, Mumbai, Maharashtra 400005, India",18.9183529,72.8277157,2872.4,16700,? 350.00,"? 58,45,000.00",Popular,
Colaba,US Club Fine Dine Cafe Lounge,4.6,3798,"WR24+52C, Mosque Ln, Navy Nagar, Colaba, Mumbai, Maharashtra 400005, India",18.9004264,72.8050118,17470.8,94950,? 450.00,"? 4,27,27,500.00",Premium,
Colaba,Kitchen Garden,4.3,335,"Nowroji Mansion, Roosevelt House, Furdonji Road, behind Taj Hotel, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9226213,72.8325572,1440.5,8375,? 350.00,"? 29,31,250.00",Popular,
Colaba,Smoke House Deli Colaba,4.3,748,"B K Boman Behram Marg Ground Floor, Building 24, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9216974,72.8322608,3216.4,18700,? 350.00,"? 65,45,000.00",Popular,
Colaba,Third Wave Coffee,4.8,1251,"Ground Floor, Star Mansion, Plot No 66, Wodehouse Rd, Cuffe Parade, Mumbai, Maharashtra 400005, India",18.9149945,72.8236451,6004.8,31275,? 550.00,"? 1,72,01,250.00",Premium,
Colaba,Mockingbird Cafe Bar,4.4,7038,"80, Veer Nariman Rd, Churchgate, Mumbai, Maharashtra 400020, India",18.9335015,72.826275,30967.2,175950,? 450.00,"? 7,91,77,500.00",Popular,
Colaba,Shamiana,4.4,1907,"The Taj Mahal Palace Hotel, B K Boman Behram Marg, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9220554,72.8330387,8390.8,47675,? 450.00,"? 2,14,53,750.00",Popular,
Colaba,Cafe Universal RESTAURANT &BAR,4.3,2111,"299, Shahid Bhagat Singh Rd, opp. Geo Chem Laboratories, Ballard Estate, Fort, Mumbai, Maharashtra 400001, India",18.9361382,72.8376123,9077.3,52775,? 350.00,"? 1,84,71,250.00",Popular,
Colaba,Mews Cafe,4.5,128,"Taj Wellington Mews, 33, Nathalal Parikh Marg, Cusrow Baug Colony, Apollo, Bandar, Maharashtra 400001, India",18.921534,72.828178,576,3200,? 450.00,"? 14,40,000.00",Premium,
Colaba,Madras Cafe,4,3057,"Aziz Mansion, Shahid Bhagat Singh Rd, Railway Colony, Apollo Bandar, Colaba, Mumbai, Maharashtra 400005, India",18.918354,72.8282565,12228,76425,? 350.00,"? 2,67,48,750.00",Popular,
Colaba,The Table,4.6,2871,"Ground Floor, Kalapesi Trust Building, opposite Dhanraj Mahal, Apollo Bandar, Colaba, Mumbai, Maharashtra 400039, India",18.924176,72.8330669,13206.6,71775,? 450.00,"? 3,22,98,750.00",Premium,
Colaba,Cafe Paris,4,373,"56 A, Makani Mansion, Shahid Bhagat Singh Rd, Marg, Colaba, Mumbai, Maharashtra 400005, India",18.9175127,72.8275682,1492,9325,? 350.00,"? 32,63,750.00",Popular,
Colaba,Sea Lounge,4.4,1264,"The Taj Mahal Palace Hotel, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.921611,72.8333051,5561.6,31600,? 450.00,"? 1,42,20,000.00",Popular,
Colaba,Souk,4.5,690,"The Taj Mahal Palace Hotel, Apollo Bunder, Colaba, Colaba, Mumbai, Maharashtra 400001, India",18.9220554,72.8330387,3105,17250,? 450.00,"? 77,62,500.00",Premium,
Colaba,Starbucks - Taj Palace (S003),4.5,3434,"opp. Gateway Of India, Apollo Bandar, Colaba, Mumbai, Maharashtra 400005, India",18.9215418,72.8325187,15453,85850,? 450.00,"? 3,86,32,500.00",Premium,
Colaba,Neuma,4.1,804,"Garden Chalet, 4/6, Mandlik Rd, near Regal Cinema, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.922257,72.8321413,3296.4,20100,? 350.00,"? 70,35,000.00",Popular,
Colaba,145 Kala Ghoda,4.4,4278,"Temple Bar Building, 145, Mahatma Gandhi Road, Kala Ghoda, Fort, Mumbai, Maharashtra 400001, India",18.9282771,72.831861,18823.2,106950,? 450.00,"? 4,81,27,500.00",Popular,
